Flow_Label_Value,PadN_Length
854016,0
854016,0
854016,0
590080,0
1280,0
394752,0
590080,0
590080,0
590080,0
0,0
0,0
0,0
0,0
1280,0
394752,0
590080,0
1280,0
394752,0
590080,0
590080,0
983808,0
983808,0
854016,0
854016,0
854016,0
1280,0
1280,0
394752,0
590080,0
1280,0
394752,0
590080,0
590080,0
590080,0
0,0
0,0
983808,0
983808,0
656640,0
0,0
0,0
0,0
854016,0
0,0
0,0
854016,0
854016,0
854016,0
787200,0
854016,0
854016,0
854016,0
854016,0
854016,0
656640,0
0,0
0,0
0,0
0,0
0,0
1280,0
394752,0
0,0
0,0
775759,0
854016,0
787200,0
787200,0
1280,0
394752,0
787200,0
0,0
0,0
0,0
0,0
787200,0
787200,0
787200,0
656640,0
0,0
0,0
0,0
0,0
0,0
590080,0
1280,0
394752,0
0,0
0,0
0,0
0,0
656640,0
0,0
0,0
0,0
0,0
0,0
656640,0
0,0
0,0
0,0
0,0
0,0
775759,0
854016,0
1280,0
394752,0
854016,0
854016,0
0,0
0,0
656640,0
0,0
0,0
0,0
0,0
0,0
